age,ethnicity,gender,age group,Filename,age label
1,2,0,Baby,1_0_2_20161219203650636.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222752047.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222832191.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161220144911423.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161220144914327.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161220144957407.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161220145040127.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170109191125532.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222749039.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170109191209991.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170109192102236.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170109192222822.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170109193535757.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170110212743721.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170110213009014.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170110213415212.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170110213523297.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170116194202388.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222609775.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222555031.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219221908887.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219221912695.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219221919847.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222014119.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222035808.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222040503.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222046607.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222119639.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222219286.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222456375.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222459119.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222527222.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222549447.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219222043223.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20161219221751759.jpg.chip.jpg,0
1,2,0,Baby,1_0_2_20170117195243732.jpg.chip.jpg,0
1,3,0,Baby,1_0_3_20161219224423280.jpg.chip.jpg,0
1,3,0,Baby,1_0_3_20161219225121728.jpg.chip.jpg,0
1,3,0,Baby,1_0_3_20161219225149888.jpg.chip.jpg,0
1,3,0,Baby,1_0_3_20161219225241152.jpg.chip.jpg,0
